#Records Breached,#Total Records,% Record Breach,Show Data By Calc,City,Company,Date Made Public,Description of incident,Information Source,Location,Number of Records,Records Breached,Source URL,State,Total Records,Type of breach,Type of organization
22,,,Statewise Representation,The Woodlands,Cardon Outreach,7/27/2016,"""A health care revenue company says one of its employees looked at nearly two dozen patient records without authorization.Cardon Outreach does contract work for AnMed Health, and has employees on site at the hospital. AnMed said in a release that a Cardon Outreach employee opened 22 patient files without authorization, including her own file.Cardon Outreach fired the employee immediately after learning of the breach, according to the release.""More Information: http://www.wyff4.com/news/unauthorized-employee-accessed-hospital-patien...",Media,"The Woodlands, Texas",1,22,,Texas,Unknown,INSD,MED
854,,,Statewise Representation,Phoenix,"Athletes' Performance, Inc. ",7/28/2016,"As reported by Health and Human Services theft/laptop. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency,"Phoenix, Arizona",1,854,,Arizona,Unknown,PORT,MED
10401,10401,100,Statewise Representation,Laurel,"Jefferson Medical Associates, P.A.",7/29/2016,"""A Laurel clinic has issued a warning to a small group of their patients after a recent data breach of their systems. Jefferson Medical Associates issued a press release stating that privacy events may have compromised certain personal information. Continue reading >>""I find things that are publicly available on the internet that should probably not be public available,"" said Chris Vickery, a cyber security researcher who lives in Austin, Texas. ""Things like databases that have no password and are configured for public access. ""Vickery said he found a security flaw in a database of Jefferson Medical patient information.""I was just going through randomly looking at the publicly available, configured for public access databases on those ports, and this one showed up,"" he said. ""When I realized there social security numbers and names and phone numbers and prescription information, it dawned on me that 'hey this probably should not be public if it is real data.' So then I started the process of trying to figure out whose it was."" Jefferson Medical said Vickery was an unauthorized individual who shouldn't have had access to that information.""This information is private information,"" said Katie Gilchrist, Jefferson Medical's legal counsel. ""It's federally protected information. It's information that was on our server. This individual accessed it without our permission. He did in secret. There has never been a time when patient information in Jefferson Medical's possession has been just out there for anyone to get to.""Vickery agrees he shouldn't have had access and said that's why he alerted the clinic to the hole in its security.""It was as available as a website is,"" Vickery said.Gilchrist said, ""Basically it's like leaving a window unlocked in your house. You leave the house, and you leave a window unlocked. These folks out there think that entitles them to come into the house and look around at all your stuff and then take things with them when they leave. That's just not appropriate.""Vickery said this isn't a hack because the information was readily available to anyone who knewwhere to look.""There was nothing to hack,"" Vickery said. ""There simply was no password, no user name, no security features of any sort being used. If you want to use a real analogy, here's a better one. I drove along a country road, a public country road, that not many people drive along, and on the side of the road, there were some records. Jefferson Medical left those records there. I took pictures of them and hunted down Jefferson and told them their records were on the side of the road. There's no crime involved there. That's not hacking. That's simply them being negligent.""Gilchrist said and internal investigation is ongoing, and Jefferson Medical has already increase security in response to the breach.""More Information: http://www.wdam.com/story/32712941/security-flaw-may-be-responsible-for-...",Media,"Laurel, Missouri",1,"10,401",,Missouri,"10,401",HACK,MED
,,,Statewise Representation,Phoenix,Banner Health,8/3/2016,"""On July 13, 2016, we discovered that cyber attackers may have gained unauthorized access to information stored on a limited number of Banner Health computer servers.  We immediately launched an investigation, hired a leading forensics firm, took steps to block the cyber attackers, and contacted law enforcement.  The investigation revealed that the attack was initiated on June 17, 2016.""The information compromised included names, birthdates, addresses, physician's name (s), dates of service, clinical information, health insurance information, and Social Security numbers. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-63197",California Attorney General,"Phoenix, Arizona",1,Unknown,,Arizona,Unknown,HACK,MED
300000,,,Statewise Representation,Gahanna,"Central Ohio Urology Group, Inc. ",8/3/2016,"                                        As reported by Health and Human Services hacking/IT incident. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...www.modernhealthcare.com/article/20160803/NEWS/160809959          ",Government Agency,"Gahanna, Ohio",1,"300,000",,Ohio,Unknown,HACK,MED
1185,,,Statewise Representation,Urbana,The Carle Foundation,8/4/2016,"As reported by Health and Human Services unauthorized 
access/disclosure/network server. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency,"Urbana, Illinois",1,"1,185",,Illinois,Unknown,DISC,MED
992,,,Statewise Representation,Chester,Center for Minimally Invasive Bariatric and General Surgery,8/5/2016,"As reported by Health and Human Services unauthorized 
access/disclosure/email. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency,"Chester, Pennsylvania",1,992,,Pennsylvania,Unknown,DISC,MED
,,,Statewise Representation,Novato,Marin Medical Practice Concepts,8/5/2016,"""Marin Medical Practice Concepts, a Novato company that provides medical billing and electronic medical records services to many Marin physicians, had its computer system hacked and paid a ransom to regain access to its own data. There is ""no evidence"" that any patient data were compromised, according to a company official.As a result of the security breach, many Marin doctorrs have been unable to access patients' electronic medical records for more than a week.""More Information: http://www.mercurynews.com/2016/08/05/marin-electronic-medical-record-sy...",Media,"Novato, California",1,Unknown,,California,Unknown,HACK,MED
13237,,,Statewise Representation,Reston,"Professional Dermatology Care, P.C. ",8/9/2016,"As reported by Health and Human Services unauthorized hacking/IT incident. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency,"Reston, Virginia",1,"13,237",,Virginia,Unknown,HACK,MED
2000,,,Statewise Representation,Walnut Creek,"Brian D. Halevie-Goldman, M.D. ",8/9/2016,"""On July 19, 2016 two laptop computers belonging to the medical offices of Dr. Brian Halevie-Goldman were stolen. The laptops were password protected, secured in a carrying case and locked inside a vehicle when the theft occurred.  It is not known whether the information contained on the laptops was or will be accessed by the thief.  It is possible that the laptops themsleves and not the information they contained were the target of the thief.""The information compromised included names, birthdate and patient charts.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-63286",California Attorney General,"Walnut Creek, California",1,"2,000 (per Department of Health and Human Services)",,California,Unknown,PORT,MED
533,,,Statewise Representation,Northbrook,Autism Home Support Services,8/10/2016,"As reported by Health and Human Services unauthorized 
access/disclosure/email. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency,"Northbrook, Illinois",1,533,,Illinois,Unknown,DISC,MED
23015,,,Statewise Representation,St. Louis,"Prosthetic & Orthotic Care, Inc.",8/11/2016,"""Prosthetic and Orthotic Care (POC), an independent prosthetics and orthotics company serving disabled individuals in Southern Illinois and Eastern Missouri, has discovered that an unauthorized individual has stolen the protected health information of 23,015 patients.The cyberattack occurred in June 2016, although POC only became aware of the hacking incident on July 10. The hacker gained access to patient data by exploiting security flaw in a third party software system that had been purchased by POC. The attack was conducted by a hacker operating under the name – TheDarkOverlord – who was also responsible for the cyberattacks on Athens Orthopedic Clinic and Midwest Orthopedics Group, in addition to a hack of as of yet unnamed health insurer. In total, the records of over 9.5 million patients are understood to have been obtained by the hacker.According to a breach notice issued by POC, the stolen data include names, addresses and other contact information, internal ID numbers, billing amounts, appointment dates, and diagnostic codes. Some patients also had their Social Security number, date of birth, procedure photographs, health insurer’s names, and other identification information stolen.""The ""breach total number"" was included in the posting of the third party software vendor who was hacked and affected many medical clinics, practices and facilities. More Information: http://www.hipaajournal.com/hacker-steals-phi-23000-patients-prosthetic-...",Media,"St. Louis, Missouri",1,"23,015",,Missouri,Unknown,HACK,MED
655000,655000,100,Statewise Representation,Richmond,Bon Secours Health System,8/12/2016,"""Approximately 655,000 patients of the Bon Secours Health System are being notified that their informaiton may have been compromised during an incident with a contractor in April.According to a release, R-C Healthcare Management, a company doing work for Bon Secours, inadvertently left files containing patient information accessible on the internet while attempting to adjust their network settings from April 18th to April 21st.""The information compromised included patient names, health insurer's name, health insurance identification number, social security number and limited clinical information. More Information: http://wtkr.com/2016/08/12/655000-bon-secours-patients-exposed-to-data-b...",Media,"Richmond , Virginia",1,"655,000",,Virginia,"655,000",DISC,MED
,,,Statewise Representation,Phoenix,Valley Anesthesiology & Pain Consultants,8/12/2016,"""On June 13, 2016, we learned that a third party may have gained unauthorized access to the VAPC computer systems on March 30, 2016. Upon learning of the situation, we immediately began an investigation, including hiring a leading forensics firm to assist us, and notifying law enforcement.  The forensics firm found no evidenc that the information on the computer systems was accessed, but was unable to definitively rul that out.  The computer systems may ontain some of your information, such as your name, providers' names, date of service, place treatment, diagnosis and treatment codes, and your Medicare number, which may include your social security number.  Your financial information was not included in these computer systems.""More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-63349 ",California Attorney General,"Phoenix, Arizona",1,Unknown,,Arizona,Unknown,HACK,MED
,,,Statewise Representation,Los Angeles,John E. Gonzalez DDS,8/14/2016,"""On the late afternoon of Monday July 25, 2016, my car window was broken out and my briefcase was stolen.  In that breifcase was an external hard drive containing two different types of data.  First, all office patient records were backed up on the drive, including social security numbers, driver's license numbers, phone numbers, date of birth, physical and email addresses and health insurance information.  NO passwords or user names appear in these records. No complete credit card information or bank account information was stored on this drive (only the last four digist of the most recend card used is stored).""More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-63351",California Attorney General,"Los Angeles, California",1,Unknown,,California,Unknown,PORT,MED
21880,,,Statewise Representation,New York,New York State Office of Mental Health,8/15/2016,"                                        As reported by Health and Human Services hacking/IT incident. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"New York, New York",1,"21,880",,New York,Unknown,HACK,MED
500,,,Statewise Representation,Lebanon,Phoenix Dental Care,8/15/2016,"As reported by Health and Human Services theft/paper/films. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency,"Lebanon, Tennessee",1,500,,Tennessee,Unknown,PHYS,MED
688,,,Statewise Representation,Oak Park,Village of Oak Park,8/18/2016,"                                        As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Oak Park, Illinois",1,688,,Illinois,Unknown,HACK,MED
6890,,,Statewise Representation,Orleans,Orleans Medical Clinic,8/19/2016,"As reported by Health and Human Services unauthorized hacking/IT incident. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency,"Orleans, Massachusetts",1,"6,890",,Massachusetts,Unknown,HACK,MED
,,,Statewise Representation,Long Beach,SCAN Health Plan,8/22/2016,"""On June 27, 2016 we learned that contact sheets, which are documents kept in a system used for sales purposes, had been accessed and possibly viewed for unauthorized purposes. We immediately began an investigation and brought in outside experts. We determined the unauthorized access occurred between March and June of 2016. While there is no indication that the information in this system has been used fraudulently, we needed to let you know that your information was in this system.What Information Was Involved? The information on the contact sheets that were exposed included name, address, and phone number. For some people it also included date of birth and limited health notes, such as a doctor name, health condition, or medication name. For a small number of individuals it may have also included Social Security number.""More Information: http://www.scandatafacts.com/#substitute",Security Breach Letter,"Long Beach, California",1,Unknown,,California,Unknown,HACK,MED
674,,,Statewise Representation,Independence,"Summit Medical Group, In. dba St. Elizabeth Physicians",8/23/2016,"                                        As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Independence, Kentucky",1,674,,Kentucky,Unknown,DISC,MED
10700,,,Statewise Representation,Yakima,Planned Parenthood of Greater Washington and North Idaho,8/26/2016,"                                        As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Yakima, Washington",1,"10,700",,Washington,Unknown,DISC,MED
1980,,,Statewise Representation,Portland,"Howard R. Jarvis, D.M.D., L.L.C. dba Southwest Portland Dental",8/30/2016,"                                        As reported by Health and Human Services hacking/IT incident. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Portland, Oregon",1,"1,980",,Oregon,Unknown,HACK,MED
743,,,Statewise Representation,Los Angeles,County of Los Angeles,8/30/2016,"                                        As reported by Health and Human Services theft/paper/films. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Los Angeles, California",1,743,,California,Unknown,PHYS,MED
824,,,Statewise Representation,,"Center for Neurosurgical & Spine Disorders, LLC",8/31/2016,As reported by Health and Human Services unauthorized hacking/IT incident. No specific information as to what information was  compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...,Government Agency,", Louisiana",1,824,,Louisiana,Unknown,HACK,MED
625,,,Statewise Representation,Plano,Willow Bend Dental,8/31/2016,"                                        As reported by Health and Human Services theft/other. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Plano, Texas",1,625,,Texas,Unknown,PHYS,MED
18399,18399,100,Statewise Representation,Seattle,CHI Franciscan Healthcare Highline Medical Center,9/1/2016,As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...Letter from company: http://ago.vermont.gov/assets/files/Consumer/Security_Breach/CHI%20Franc...,Government Agency,"Seattle, Washington",1,"18,399",,Washington,"18,399",DISC,MED
25000,,,Statewise Representation,Santa Cruz,Santa Cruz County Health Services Agency,9/2/2016,"                                        As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Santa Cruz, California",1,"25,000",,California,Unknown,DISC,MED
7748,,,Statewise Representation,Springfield,Burrell Behavioral Health,9/2/2016,"As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency,"Springfield, Missouri",1,"7,748",,Missouri,Unknown,DISC,MED
3179,,,Statewise Representation,Milwaukee,Medical College of Wisconsin,9/2/2016,As reported by Health and Human Services unauthorized hacking/IT incident. No specific information as to what information was  compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...,Government Agency,"Milwaukee, Wisconsin",1,"3,179",,Wisconsin,Unknown,HACK,MED
707,,,Statewise Representation,Oberlin,Decatur Health Systems,9/7/2016,"                                        As reported by Health and Human Services theft/paper/films. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Oberlin, Kansas",1,707,,Kansas,Unknown,PHYS,MED
860,,,Statewise Representation,Baltimore,"Man Alive, Inc.and Lane Treatment Center, LLC",9/8/2016,"                                        As reported by Health and Human Services hacking/IT incident. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Baltimore, Maryland",1,860,,Maryland,Unknown,HACK,MED
1349,,,Statewise Representation,Montgomery,Public Education Employees' Health Insurance Plan,9/9/2016,"                                        As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Montgomery, Alabama",1,"1,349",,Alabama,Unknown,DISC,MED
2400,,,Statewise Representation,Ashland,Asante,9/9/2016,"As reported by Health and Human Services unauthorized access/disclosure/electronic medical record. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency,"Ashland, Oregon",1,"2,400",,Oregon,Unknown,DISC,MED
1000,,,Statewise Representation,Fort Benning,Martin Army Community Hospital,9/9/2016,"As reported by Health and Human Services unauthorized theft/paper films. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency,"Fort Benning, Georgia",1,"1,000",,Georgia,Unknown,PHYS,MED
1400,,,Statewise Representation,Sacramento,U.S HealthWorks,9/9/2016,"As reported by Health and Human Services theft/laptop. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency,"Sacramento, California",1,1400,,California,Unknown,PORT,MED
,,,Statewise Representation,Sonora,Yuba Sutter Medical Center,9/11/2016,"""On or about August 3, 2016, the Yuba-Sutter Medical Clinic's computer system came under a ransomware attack"" by hackers.  Ransomware attacks are designed to deny access to certain portions of a computer systems until a ransom is paid.In such an attack, the risk is not usually to patient privacy.  Instead it poses an operational risk to health systems in that it can result in patients being turned away due to an inability to provide care as a result of not having immediate access to records.  Fortunately, we were able to regain access and no data was lost.  Nevertheless, as a result of the attack, we were temporarily denied access to certain portions of our computer system, and we regret any delays or rescheduling of appointments that may hae resulted from this incident.""The information involved included clinic information, patient names, addresses, phone numbers, billing and insurance information. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-63841",California Attorney General,"Sonora, California",1,Unknown,,California,Unknown,HACK,MED
,,,Statewise Representation,Los Banos,"Pratap S. Kurra, M.D.",9/11/2016,"""On August 9, 2016, I was informed that papers related to my practice were found in a trash container. I immediately began an investigation into the matter and determined that on August 8, 2016, the day before, billing tickets used by my practice were accidentally thrown away during my move.  Fortunately, all known records were retrieved within 24 hours, and upon further investigation, it was determined to have been a singular incident.""The information compromised included names, procedure type, surgeon, additional physician information, hospital, date and time of procedure, type of anesthesia and case difficulty. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-63839",California Attorney General,"Los Banos, California",1,Unknown,,California,Unknown,PHYS,MED
3840,,,Statewise Representation,Boston,Codman Square Health Center,9/12/2016,"As reported by Health and Human Services unauthorized access/disclosures. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency,"Boston, Massachusetts",1,"3,840",,Massachusetts,Unknown,DISC,MED
,,,Statewise Representation,Providence,University Gastroenterology,9/12/2016,"""On July 11, 2016, we discovered that an unauthorized individual had gained access to an electronic file storage system from a practice we acquired in 2014, Consultants in Gastroenterology, and encrypted several files. We immediately took action to secure our system and conducted  an investigation to determine what information was contained in those files. We determined that some files may have contained your name, address, date of birth, Social Security number, and medical billing information.""More Information: http://ago.vermont.gov/assets/files/Consumer/Security_Breach/University%...http://universitygi.com/securityincident.pdf",Vermont Attorney General,"Providence, Rhode Island",1,Unknown,,Rhode Island,Unknown,HACK,MED
2029,,,Statewise Representation,Merced,"Pratap S. Kurra, M.D",9/12/2016,"                                        As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Merced, California",1,"2,029",,California,Unknown,PHYS,MED
16228,,,Statewise Representation,King of Prussia,King of Prussia Dental Associates,9/13/2016,"                                        As reported by Health and Human Services hacking/IT incident. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"King of Prussia, Pennsylvania",1,"16,228",,Pennsylvania,Unknown,HACK,MED
13000,9000,144.444444444,Statewise Representation,New York,New York State Psychiatric Institute,9/13/2016,"""For one week in late April and early May, a hacker (or hackers) got 
into servers that held information provided by 22,000 people for 11 
mental health studies being done at the New York State Psychiatric 
Institute.These were not patients being treated at the institute, but subjects of its research.They
 included, among others, school children directly exposed to the events 
of Sept. 11; Puerto Rican youth; severely emotional disturbed young 
people in Westchester County and their caretakers; people in the Bronx 
suffering from post-traumatic stress who have family in the criminal 
justice system; students at three schools in Queens and four others in 
Washington Heights, Manhattan, whose mental health needs were being 
assessed.It was a hack with different fingers, infiltrating two 
servers operated by the State of New York and plucking out information 
of varying calibers. For about 9,000 people, it captured the kind of 
data that is sold to identity thieves, like names, addresses and so 
forth.""More Information: http://www.nytimes.com/2016/09/14/nyregion/a-computer-breach-that-could-...",Media,"New York, New York",1,"13,000 individuals had birthdays and demographic information exposed 9,000 had credit card, names, addresses, Social Security numbers exposed. ",,New York,"9,000",HACK,MED
812,,,Statewise Representation,Hilton Head,"Heritage Medical Partners, LLC",9/15/2016,"                                        As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Hilton Head, South Carolina",1,812,,South Carolina,Unknown,DISC,MED
2818,,,Statewise Representation,Tacoma,CHI Franciscan Health St. Clare Hospital and St. Joseph Medical Center,9/16/2016,"                                        As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Tacoma, Washington",1,"2,818",,Washington,Unknown,DISC,MED
1456,,,Statewise Representation,Schnecksville,KidsPeace,9/19/2016,"                                        As reported by Health and Human Services loss/paper/films. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Schnecksville, Pennsylvania",1,"1,456",,Pennsylvania,Unknown,PHYS,MED
777,,,Statewise Representation,Ventura,Ventura County Health Care Agency,9/20/2016,"                                        As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Ventura, California",1,777,,California,Unknown,DISC,MED
1000,,,Statewise Representation,Lansing,McLaren Greater Lansing Cardiovascular Group,9/21/2016,"                                        As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Lansing, Michigan",1,"1,000",,Michigan,Unknown,DISC,MED
28000,,,Statewise Representation,Chatham,New Jersey Spine Center,9/22/2016,"                                        As reported by Health and Human Services unauthorized hacking/IT incident. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Chatham, New Jersey",1,"28,000",,New Jersey,Unknown,HACK,MED
,,,Statewise Representation,Napa Valley,Napa Valley Dentistry,9/22/2016,"""Someone broke into our locked storage unit, which was within a gated storage facility, and stole a password-protected server. Upon discovery of the theft, we promptly notified the Napa Police Department and will provide whatever cooperation is necessary to identify the perpetrator(s) and hold them accountable. On September 8, 2016, we confirmed that your personal information may have been on the server. In December 2012, Dr. Justin Newberry, DDS, purchased Napa Valley Dentistry, including this server, from Dr. C. Michael Quinn, DDS. The server may therefore contain personal information of Dr. Quinn's former patients who may not currently have a relationship with Napa Valley Dentistry. While there is no indication that your personal information was, in fact, accessed without authorization, we are notifying you out of an abundance of caution and offering you identity protection services.""The information compromised included names, addresses, dates of birth, Social Security numbers and dental insurance information. More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64007",California Attorney General,"Napa Valley, California",1,Unknown,,California,Unknown,PHYS,MED
668,,,Statewise Representation,Seattle,Group Health,9/23/2016,"                                        As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Seattle, Washington",1,668,,Washington,Unknown,DISC,MED
,,,Statewise Representation,Susanville,Dr. Hal Meadows,9/23/2016,"""On July 27, 2016, Dr. Meadows found that his patient file had been unlawfully accessed. The patient file contained information used for billing, which included: Names and addresses, birth dates, telephone numbers, insurance numbers, treatment codes, billing information.""More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64012",California Attorney General,"Susanville, California",1,Unknown,,California,Unknown,HACK,MED
1500,,,Statewise Representation,Hopkinsville,Jennie Stuart Medical Center,9/23/2016,"                                        As reported by Health and Human Services hacking/IT incident. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Hopkinsville, Kentucky",1,"1,500",,Kentucky,Unknown,HACK,MED
2933,,,Statewise Representation,San Rafael,Prima Medical Foundation,9/26/2016,"                                        As reported by Health and Human Services hacking/IT incident. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"San Rafael, California",1,"2,933",,California,Unknown,HACK,MED
20,20,100,Statewise Representation,New Haven,Yale-New Haven Hospital,9/26/2016,"""Federal investigators say two women orchestrated an identity theft ring that targeted at least 20 people. But it's how suspects Jamila Williams-Stevenson and Loretta Coburn are said to have gotten some of their victim's personal information that is most shocking.Authorities said several of the alleged victims had been patients at Yale-New Haven Hospital where Williams-Stevenson was working as a companion or sitter.""""According to a court affidavit, once the two changed their alleged victims addresses, they took control of their mail, then took control of their finances.""More Information: http://www.nbcconnecticut.com/troubleshooters/Hospital-Patients-Caught-i...",Media,"New Haven, Connecticut",1,20,,Connecticut,20,INSD,MED
2292,,,Statewise Representation,Greenbrae,Marin Healthcare District,9/27/2016,"                                        As reported by Health and Human Services hacking/IT incident. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Greenbrae, California",1,"2,292",,California,Unknown,HACK,MED
10981,,,Statewise Representation,Thomasville,Thomasville Eye Center,9/28/2016,"                                        As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"Thomasville, Georgia",1,"10,981",,Georgia,Unknown,DISC,MED
500,,,Statewise Representation,San Juan,San Juan Oncology Associates,9/29/2016,"                                        As reported by Health and Human Services hacking/IT incident. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,"San Juan, New Mexico",1,500,,New Mexico,Unknown,HACK,MED
9624,,,Statewise Representation,Memphis,Fred's Stores of Tennessee,9/29/2016,"                        As reported by Health and Human Services theft/laptop. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...      ",Government Agency,"Memphis, Tennessee",1,"9,624",,Tennessee,Unknown,PORT,MED
